"term","About Even","Almost Certain","Almost No Chance","Better than Even","Chances are Slight","Could Happen","Highly Likely","Highly Unlikely","Improbable","Likely","Little Chance","May Happen","Might Happen","Probable","Realistic Possibility","Remote Chance","Unlikely","Very Good Chance","Will Happen"
"About Even",,0,1,0,1,1,0,1,,,1,0.25,1,0,0.5,1,1,0,0
"Almost Certain",1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.188
"Almost No Chance",0,0,,0,0,0,0,0.036,,,0,0,0,0,0,,0,0.034,0
"Better than Even",1,,1,,1,1,0,1,0.958,0,1,1,1,0,0.5,1,1,0,0
"Chances are Slight",0,0,1,0,,0.2,0,0,0.667,0,0,0,0,0,0,1,0.5,0,
"Could Happen",0,0,1,0,0.8,,0,1,,0,1,0,0.667,0,0,1,1,,0
"Highly Likely",1,0,1,1,1,1,,0.92,1,1,1,1,1,1,1,1,,1,0
"Highly Unlikely",0,0,0.964,0,1,0,0.08,,0.4,0,0,0,0,0,0,,1,0,0
"Improbable",,0,,0.042,0.333,,0,0.6,,0,0,0,0,0,0,1,0.182,0,0
"Likely",,0,,1,1,1,0,1,1,,1,,1,0.407,1,1,0.889,0.5,0
"Little Chance",0,0,1,0,1,0,0,1,1,0,,0,0,0,0,0.5,0,0,0
"May Happen",0.75,0,1,0,1,1,0,1,1,,1,,1,0,0.25,1,1,0,0
"Might Happen",0,0,1,0,1,0.333,0,1,1,0,1,0,,0.059,0.286,1,1,0,0
"Probable",1,0,1,1,1,1,0,1,1,0.593,1,1,0.941,,0.9,1,1,0,0
"Realistic Possibility",0.5,0,1,0.5,1,1,0,1,1,0,1,0.75,0.714,0.1,,1,1,0,0
"Remote Chance",0,0,,0,0,0,0,,0,0,0.5,0,0,0,0,,0.294,0,0
"Unlikely",0,0,1,0,0.5,0,,0,0.818,0.111,1,0,0,0,0,0.706,,0,0
"Very Good Chance",1,0,0.966,1,1,,0,1,1,0.5,1,1,1,1,1,1,1,,0
"Will Happen",1,0.812,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
