"response_id","timestamp","term","probability","order","age_band","english_background","education_level","country_of_residence"
1,"2025-12-29T16:21:10.461267","About Even",50,4,"","","",""
1,"2025-12-29T16:21:10.461267","Almost Certain",97,12,"","","",""
1,"2025-12-29T16:21:10.461267","Almost No Chance",5,14,"","","",""
1,"2025-12-29T16:21:10.461267","Better than Even",61,8,"","","",""
1,"2025-12-29T16:21:10.461267","Chances are Slight",6,10,"","","",""
1,"2025-12-29T16:21:10.461267","Highly Likely",81,18,"","","",""
1,"2025-12-29T16:21:10.461267","Highly Unlikely",18,1,"","","",""
1,"2025-12-29T16:21:10.461267","Improbable",13,2,"","","",""
1,"2025-12-29T16:21:10.461267","Likely",69,11,"","","",""
1,"2025-12-29T16:21:10.461267","Little Chance",13,9,"","","",""
1,"2025-12-29T16:21:10.461267","Probable",65,13,"","","",""
1,"2025-12-29T16:21:10.461267","Realistic Possibility",39,7,"","","",""
1,"2025-12-29T16:21:10.461267","Remote Chance",4,17,"","","",""
1,"2025-12-29T16:21:10.461267","Unlikely",25,16,"","","",""
1,"2025-12-29T16:21:10.461267","Very Good Chance",73,3,"","","",""
4,"2026-01-03T15:17:11.985460","About Even",50,7,"","","",""
4,"2026-01-03T15:17:11.985460","Almost Certain",95,13,"","","",""
4,"2026-01-03T15:17:11.985460","Almost No Chance",5,1,"","","",""
4,"2026-01-03T15:17:11.985460","Better than Even",60,3,"","","",""
4,"2026-01-03T15:17:11.985460","Chances are Slight",15,9,"","","",""
4,"2026-01-03T15:17:11.985460","Could Happen",30,8,"","","",""
4,"2026-01-03T15:17:11.985460","Highly Likely",90,5,"","","",""
4,"2026-01-03T15:17:11.985460","Highly Unlikely",10,17,"","","",""
4,"2026-01-03T15:17:11.985460","Improbable",30,12,"","","",""
4,"2026-01-03T15:17:11.985460","Likely",70,14,"","","",""
4,"2026-01-03T15:17:11.985460","Little Chance",30,4,"","","",""
4,"2026-01-03T15:17:11.985460","May Happen",40,18,"","","",""
4,"2026-01-03T15:17:11.985460","Might Happen",30,15,"","","",""
4,"2026-01-03T15:17:11.985460","Probable",60,16,"","","",""
4,"2026-01-03T15:17:11.985460","Realistic Possibility",40,11,"","","",""
4,"2026-01-03T15:17:11.985460","Remote Chance",10,6,"","","",""
4,"2026-01-03T15:17:11.985460","Unlikely",10,2,"","","",""
4,"2026-01-03T15:17:11.985460","Very Good Chance",80,10,"","","",""
4,"2026-01-03T15:17:11.985460","Will Happen",100,19,"","","",""
5,"2026-01-03T15:18:46.891276","About Even",50,2,"","","",""
5,"2026-01-03T15:18:46.891276","Almost Certain",90,15,"","","",""
5,"2026-01-03T15:18:46.891276","Almost No Chance",5,19,"","","",""
5,"2026-01-03T15:18:46.891276","Better than Even",60,8,"","","",""
5,"2026-01-03T15:18:46.891276","Chances are Slight",15,9,"","","",""
5,"2026-01-03T15:18:46.891276","Could Happen",40,4,"","","",""
5,"2026-01-03T15:18:46.891276","Highly Likely",90,6,"","","",""
5,"2026-01-03T15:18:46.891276","Highly Unlikely",5,10,"","","",""
5,"2026-01-03T15:18:46.891276","Improbable",30,13,"","","",""
5,"2026-01-03T15:18:46.891276","Likely",80,7,"","","",""
5,"2026-01-03T15:18:46.891276","Little Chance",10,16,"","","",""
5,"2026-01-03T15:18:46.891276","May Happen",45,1,"","","",""
5,"2026-01-03T15:18:46.891276","Might Happen",25,17,"","","",""
